Tipo_Colegio,Genero,Estrato_Vivienda,Puntaje_Global,Puntaje_Matematicas,Puntaje_Lectura
Oficial,Masculino,Estrato 3,233,16,36
Oficial,Masculino,Estrato 2,215,48,43
Oficial,Masculino,Estrato 1,281,60,42
No Oficial,Masculino,Estrato 3,273,46,49
Oficial,Masculino,Estrato 1,243,37,48
Oficial,Masculino,Estrato 3,314,75,53
Oficial,Femenino,Estrato 1,261,59,48
Oficial,Masculino,Estrato 1,259,49,51
No Oficial,Femenino,Estrato 2,290,52,49
Oficial,Masculino,Estrato 3,194,39,43
No Oficial,Femenino,Estrato 5,313,51,69
No Oficial,Femenino,Estrato 1,266,55,46
Oficial,Masculino,Estrato 1,243,38,47
Oficial,Femenino,Estrato 2,268,34,52
No Oficial,Masculino,Estrato 3,280,49,58
Oficial,Femenino,Estrato 2,247,41,47
Oficial,Femenino,Estrato 2,248,64,44
No Oficial,Masculino,Estrato 2,268,66,46
Oficial,Masculino,Estrato 2,245,40,54
Oficial,Masculino,Estrato 2,188,36,33
Oficial,Masculino,Estrato 2,154,25,25
No Oficial,Femenino,Estrato 3,316,77,70
Oficial,Masculino,Estrato 4,223,30,45
Oficial,Masculino,Estrato 3,197,43,32
Oficial,Masculino,Estrato 2,242,58,47
Oficial,Masculino,Estrato 2,288,53,50
Oficial,Masculino,Estrato 1,274,54,46
Oficial,Femenino,Estrato 3,263,61,48
Oficial,Masculino,Estrato 2,284,47,55
No Oficial,Femenino,Estrato 4,298,64,55
Oficial,Masculino,Estrato 1,226,32,48
Oficial,Masculino,Estrato 3,269,41,58
Oficial,Femenino,Estrato 3,226,52,40
No Oficial,Masculino,Estrato 2,261,44,50
Oficial,Masculino,Estrato 3,319,65,60
No Oficial,Femenino,Estrato 4,258,42,44
Oficial,Femenino,Estrato 4,315,65,64
Oficial,Masculino,Estrato 3,172,21,21
Oficial,Femenino,Estrato 1,219,54,37
Oficial,Femenino,Estrato 4,261,58,44
Oficial,Masculino,Estrato 3,248,44,43
Oficial,Masculino,Estrato 2,162,17,24
Oficial,Masculino,Estrato 1,235,45,35
Oficial,Masculino,Estrato 1,343,65,66
Oficial,Femenino,Estrato 1,254,46,48
No Oficial,Femenino,Estrato 3,357,79,71
Oficial,Femenino,Estrato 1,219,53,45
Oficial,Masculino,Estrato 1,254,54,53
No Oficial,Masculino,Estrato 2,256,63,45
Oficial,Femenino,Estrato 2,289,35,58
Oficial,Masculino,Estrato 1,288,55,55
Oficial,Femenino,Estrato 1,261,49,51
Oficial,Femenino,Estrato 1,247,56,46
No Oficial,Femenino,Estrato 3,293,56,52
No Oficial,Masculino,Estrato 1,237,51,45
Oficial,Masculino,Estrato 2,248,45,46
No Oficial,Femenino,Estrato 1,269,48,55
No Oficial,Femenino,Estrato 1,283,63,63
Oficial,Femenino,Estrato 2,209,41,35
No Oficial,Masculino,Estrato 1,266,55,49
Oficial,Femenino,Estrato 1,282,46,72
No Oficial,Femenino,Estrato 2,220,49,31
No Oficial,Masculino,Estrato 2,336,58,55
Oficial,Femenino,Estrato 3,225,58,52
Oficial,Femenino,Estrato 1,224,42,58
Oficial,Masculino,Estrato 4,297,56,69
Oficial,Masculino,Estrato 3,279,62,57
No Oficial,Femenino,Estrato 3,280,55,52
No Oficial,Masculino,Estrato 2,294,64,56
Oficial,Femenino,Estrato 3,250,47,52
Oficial,Masculino,Estrato 1,287,63,63
Oficial,Masculino,Estrato 1,298,58,63
Oficial,Femenino,Estrato 1,234,53,32
Oficial,Femenino,Estrato 4,267,62,45
Oficial,Masculino,Estrato 2,228,32,47
No Oficial,Femenino,Estrato 4,320,66,54
Oficial,Masculino,Estrato 2,248,64,36
Oficial,Masculino,Estrato 4,283,61,62
Oficial,Masculino,Estrato 4,305,80,62
Oficial,Masculino,Estrato 4,266,45,64
No Oficial,Femenino,Estrato 2,293,60,65
No Oficial,Femenino,Estrato 4,256,55,46
Oficial,Femenino,Estrato 5,126,20,26
Oficial,Femenino,Estrato 2,216,33,37
Oficial,Masculino,Estrato 2,282,73,45
Oficial,Femenino,Estrato 3,283,65,64
Oficial,Femenino,Estrato 2,215,47,41
Oficial,Femenino,Estrato 3,251,50,59
Oficial,Femenino,Estrato 1,237,48,48
Oficial,Femenino,Estrato 2,272,59,56
Oficial,Masculino,Estrato 1,333,78,70
No Oficial,Femenino,Estrato 2,273,48,53
Oficial,Femenino,Estrato 2,218,44,41
Oficial,Femenino,Estrato 3,241,45,49
Oficial,Masculino,Estrato 1,301,51,68
No Oficial,Femenino,Estrato 3,374,69,78
Oficial,Femenino,Estrato 3,220,45,44
Oficial,Masculino,Estrato 2,273,52,51
No Oficial,Femenino,Estrato 1,257,51,50
Oficial,Masculino,Estrato 1,269,59,47
Oficial,Masculino,Estrato 2,220,53,37
Oficial,Masculino,Estrato 1,266,74,51
Oficial,Femenino,Estrato 2,261,58,52
Oficial,Masculino,Estrato 5,259,46,56
Oficial,Femenino,Estrato 1,241,57,40
Oficial,Masculino,Estrato 2,247,46,49
No Oficial,Masculino,Estrato 5,232,40,49
Oficial,Masculino,Estrato 4,344,73,61
Oficial,Masculino,Estrato 4,251,61,46
Oficial,Femenino,Estrato 3,266,48,58
Oficial,Femenino,Estrato 2,236,49,46
Oficial,Masculino,Estrato 4,278,59,41
Oficial,Masculino,Estrato 4,193,31,44
Oficial,Femenino,Estrato 2,175,23,35
Oficial,Masculino,Estrato 2,243,37,37
Oficial,Femenino,Estrato 2,327,75,59
Oficial,Femenino,Estrato 2,293,54,57
Oficial,Masculino,Estrato 1,212,37,44
Oficial,Masculino,Estrato 3,265,55,60
No Oficial,Femenino,Estrato 2,274,65,48
Oficial,Masculino,Estrato 2,262,43,49
Oficial,Masculino,Estrato 1,265,37,59
Oficial,Masculino,Estrato 3,282,68,63
No Oficial,Femenino,Estrato 1,220,48,41
No Oficial,Femenino,Estrato 1,211,33,38
Oficial,Masculino,Estrato 3,241,44,51
Oficial,Femenino,Estrato 2,203,32,26
No Oficial,Masculino,Estrato 1,282,61,56
Oficial,Femenino,Estrato 2,255,59,50
Oficial,Masculino,Estrato 3,208,46,38
Oficial,Femenino,Estrato 3,335,68,70
Oficial,Femenino,Estrato 2,223,47,52
No Oficial,Masculino,Estrato 1,263,46,45
No Oficial,Masculino,Estrato 3,325,61,59
Oficial,Masculino,Estrato 4,184,36,41
Oficial,Masculino,Estrato 3,265,50,42
Oficial,Masculino,Estrato 3,258,51,47
Oficial,Femenino,Estrato 2,231,33,61
No Oficial,Femenino,Estrato 3,289,64,59
No Oficial,Masculino,Estrato 4,269,45,51
No Oficial,Femenino,Estrato 3,265,36,40
Oficial,Femenino,Estrato 4,345,63,52
Oficial,Femenino,Estrato 2,202,38,47
Oficial,Masculino,Estrato 4,193,54,30
No Oficial,Masculino,Estrato 3,265,49,53
Oficial,Femenino,Estrato 4,161,33,41
Oficial,Masculino,Estrato 1,270,56,50
Oficial,Femenino,Estrato 3,249,37,46
Oficial,Femenino,Estrato 3,259,50,56
Oficial,Masculino,Estrato 1,232,44,55
Oficial,Masculino,Estrato 3,255,51,56
Oficial,Femenino,Estrato 3,263,55,62
Oficial,Femenino,Estrato 2,253,57,34
Oficial,Femenino,Estrato 2,191,31,41
Oficial,Masculino,Estrato 2,251,54,59
Oficial,Femenino,Estrato 2,319,57,66
Oficial,Femenino,Estrato 1,254,43,49
Oficial,Femenino,Estrato 1,250,64,41
Oficial,Masculino,Estrato 1,307,46,56
Oficial,Masculino,Estrato 2,215,38,53
No Oficial,Masculino,Estrato 1,296,60,58
Oficial,Femenino,Estrato 3,223,39,40
Oficial,Femenino,Estrato 2,288,58,46
Oficial,Femenino,Estrato 3,276,44,58
Oficial,Femenino,Estrato 1,228,30,39
Oficial,Masculino,Estrato 2,234,39,46
Oficial,Masculino,Estrato 2,284,58,68
No Oficial,Masculino,Estrato 3,245,47,54
Oficial,Masculino,Estrato 3,227,50,54
No Oficial,Femenino,Estrato 4,250,38,51
Oficial,Femenino,Estrato 1,232,41,51
No Oficial,Masculino,Estrato 3,311,61,71
Oficial,Femenino,Estrato 2,163,24,26
Oficial,Femenino,Estrato 3,210,43,41
Oficial,Masculino,Estrato 2,272,52,49
Oficial,Masculino,Estrato 2,214,46,38
Oficial,Masculino,Estrato 1,192,40,37
Oficial,Masculino,Estrato 3,287,42,50
Oficial,Femenino,Estrato 2,265,64,50
Oficial,Masculino,Estrato 1,201,22,45
Oficial,Masculino,Estrato 1,250,37,49
No Oficial,Femenino,Estrato 5,305,60,55
No Oficial,Femenino,Estrato 2,315,65,68
No Oficial,Masculino,Estrato 4,316,60,56
Oficial,Femenino,Estrato 5,212,38,34
Oficial,Masculino,Estrato 4,274,54,63
No Oficial,Masculino,Estrato 4,221,48,50
Oficial,Femenino,Estrato 4,255,41,48
No Oficial,Masculino,Estrato 2,276,46,68
No Oficial,Femenino,Estrato 1,308,54,57
No Oficial,Masculino,Estrato 3,267,63,58
Oficial,Masculino,Estrato 2,241,51,37
Oficial,Femenino,Estrato 1,207,45,34
No Oficial,Masculino,Estrato 3,247,62,56
Oficial,Femenino,Estrato 2,274,61,64
Oficial,Femenino,Estrato 4,265,54,51
Oficial,Femenino,Estrato 3,201,52,56
No Oficial,Femenino,Estrato 2,205,33,50
Oficial,Masculino,Estrato 2,242,46,43
Oficial,Femenino,Estrato 2,265,62,50
Oficial,Femenino,Estrato 5,212,24,32
Oficial,Femenino,Estrato 1,286,50,54
No Oficial,Femenino,Estrato 2,252,56,52
Oficial,Femenino,Estrato 3,292,59,58
Oficial,Masculino,Estrato 2,183,40,36
No Oficial,Femenino,Estrato 2,238,32,54
Oficial,Masculino,Estrato 2,235,40,48
Oficial,Masculino,Estrato 1,303,65,65
Oficial,Femenino,Estrato 2,323,57,67
Oficial,Masculino,Estrato 4,209,48,43
Oficial,Masculino,Estrato 2,247,51,55
No Oficial,Masculino,Estrato 1,266,43,58
No Oficial,Femenino,Estrato 2,361,74,64
No Oficial,Masculino,Estrato 1,301,66,72
No Oficial,Femenino,Estrato 4,350,72,70
Oficial,Masculino,Estrato 2,247,53,42
Oficial,Femenino,Estrato 6,164,18,32
No Oficial,Masculino,Estrato 2,222,62,46
Oficial,Femenino,Estrato 3,231,68,50
Oficial,Masculino,Estrato 2,196,50,45
No Oficial,Femenino,Estrato 1,295,59,64
No Oficial,Femenino,Estrato 1,330,62,78
Oficial,Femenino,Estrato 3,295,55,59
Oficial,Femenino,Estrato 2,209,48,40
Oficial,Masculino,Estrato 2,333,75,56
Oficial,Femenino,Estrato 3,279,50,62
Oficial,Femenino,Estrato 1,296,59,63
Oficial,Femenino,Estrato 2,203,50,36
Oficial,Femenino,Estrato 3,316,62,64
Oficial,Femenino,Estrato 2,196,40,39
Oficial,Femenino,Estrato 3,236,58,48
Oficial,Masculino,Estrato 2,297,69,57
Oficial,Femenino,Estrato 2,265,59,53
No Oficial,Femenino,Estrato 1,210,33,31
Oficial,Femenino,Estrato 4,290,49,55
Oficial,Masculino,Estrato 4,258,45,53
Oficial,Femenino,Estrato 6,228,41,40
No Oficial,Femenino,Estrato 2,230,47,48
Oficial,Masculino,Estrato 3,262,51,66
Oficial,Femenino,Estrato 2,238,46,39
Oficial,Masculino,Estrato 2,251,48,37
Oficial,Femenino,Estrato 3,181,29,44
Oficial,Masculino,Estrato 1,228,41,60
Oficial,Masculino,Estrato 1,264,72,55
Oficial,Masculino,Estrato 2,320,69,64
Oficial,Femenino,Estrato 3,236,47,42
No Oficial,Masculino,Estrato 2,269,41,57
Oficial,Femenino,Estrato 2,276,47,55
Oficial,Femenino,Estrato 6,254,50,56
No Oficial,Femenino,Estrato 2,236,58,35
Oficial,Masculino,Estrato 1,206,43,43
Oficial,Femenino,Estrato 3,269,55,47
Oficial,Femenino,Estrato 3,223,53,51
Oficial,Masculino,Estrato 1,220,36,35
No Oficial,Masculino,Estrato 3,303,71,65
No Oficial,Masculino,Estrato 1,291,55,54
Oficial,Femenino,Estrato 2,281,65,53
Oficial,Masculino,Estrato 2,224,58,50
Oficial,Masculino,Estrato 2,277,48,49
Oficial,Femenino,Estrato 2,262,52,41
Oficial,Femenino,Estrato 4,178,41,36
Oficial,Femenino,Estrato 3,256,48,46
Oficial,Femenino,Estrato 4,138,25,18
Oficial,Masculino,Estrato 3,209,38,44
Oficial,Femenino,Estrato 1,263,37,54
No Oficial,Masculino,Estrato 2,368,82,74
Oficial,Femenino,Estrato 4,174,26,38
Oficial,Femenino,Estrato 3,200,21,26
Oficial,Masculino,Estrato 6,140,36,22
Oficial,Femenino,Estrato 1,191,42,40
Oficial,Femenino,Estrato 2,268,43,60
Oficial,Masculino,Estrato 2,222,53,46
No Oficial,Femenino,Estrato 2,308,66,69
Oficial,Femenino,Estrato 2,245,49,44
Oficial,Femenino,Estrato 2,246,46,44
Oficial,Femenino,Estrato 3,285,56,54
Oficial,Femenino,Estrato 2,236,48,46
No Oficial,Masculino,Estrato 1,251,43,37
Oficial,Masculino,Estrato 3,145,37,28
Oficial,Masculino,Estrato 2,289,62,57
Oficial,Masculino,Estrato 2,193,37,34
Oficial,Femenino,Estrato 2,202,54,35
Oficial,Masculino,Estrato 4,216,40,45
Oficial,Masculino,Estrato 2,288,69,61
Oficial,Masculino,Estrato 4,209,44,42
Oficial,Femenino,Estrato 2,218,49,44
Oficial,Femenino,Estrato 2,206,38,40
Oficial,Masculino,Estrato 2,255,36,51
Oficial,Femenino,Estrato 2,274,58,59
Oficial,Masculino,Estrato 2,313,53,73
Oficial,Femenino,Estrato 3,340,63,78
Oficial,Masculino,Estrato 1,271,54,46
No Oficial,Femenino,Estrato 3,329,60,51
Oficial,Femenino,Estrato 3,196,38,42
Oficial,Femenino,Estrato 3,321,65,64
Oficial,Masculino,Estrato 2,253,38,50
Oficial,Femenino,Estrato 6,233,48,49
Oficial,Femenino,Estrato 2,260,47,50
Oficial,Femenino,Estrato 1,219,35,32
No Oficial,Masculino,Estrato 3,264,36,44
Oficial,Masculino,Estrato 1,267,40,45
Oficial,Femenino,Estrato 3,298,59,64
Oficial,Masculino,Estrato 1,267,53,66
Oficial,Masculino,Estrato 1,244,52,45
Oficial,Masculino,Estrato 1,245,62,67
No Oficial,Femenino,Estrato 2,274,65,41
Oficial,Masculino,Estrato 1,250,57,46
No Oficial,Femenino,Estrato 1,267,62,54
No Oficial,Masculino,Estrato 3,283,58,38
Oficial,Masculino,Estrato 3,307,62,72
Oficial,Masculino,Estrato 3,263,64,47
Oficial,Masculino,Estrato 3,249,51,50
Oficial,Femenino,Estrato 2,271,56,57
Oficial,Femenino,Estrato 4,271,63,43
Oficial,Femenino,Estrato 2,282,54,73
Oficial,Masculino,Estrato 2,214,41,43
Oficial,Femenino,Estrato 3,225,34,42
No Oficial,Femenino,Estrato 1,275,51,47
Oficial,Femenino,Estrato 3,275,52,56
No Oficial,Femenino,Estrato 2,289,55,46
Oficial,Masculino,Estrato 1,194,45,39
Oficial,Femenino,Estrato 1,260,43,61
Oficial,Masculino,Estrato 1,299,71,67
Oficial,Masculino,Estrato 4,235,30,43
No Oficial,Femenino,Estrato 6,311,66,60
Oficial,Femenino,Estrato 2,274,61,58
No Oficial,Femenino,Estrato 2,320,69,72
Oficial,Masculino,Estrato 1,251,58,60
Oficial,Masculino,Estrato 3,295,57,70
No Oficial,Masculino,Estrato 1,305,71,54
No Oficial,Femenino,Estrato 4,380,70,81
No Oficial,Masculino,Estrato 3,305,56,51
Oficial,Femenino,Estrato 4,218,60,40
Oficial,Masculino,Estrato 2,241,49,39
No Oficial,Femenino,Estrato 3,267,61,45
Oficial,Femenino,Estrato 3,209,45,43
No Oficial,Masculino,Estrato 3,346,74,64
No Oficial,Masculino,Estrato 3,309,45,63
Oficial,Femenino,Estrato 2,238,50,39
No Oficial,Femenino,Estrato 3,266,53,56
No Oficial,Femenino,Estrato 4,338,75,64
Oficial,Femenino,Estrato 4,266,46,51
No Oficial,Masculino,Estrato 3,287,66,48
Oficial,Femenino,Estrato 1,234,37,53
No Oficial,Masculino,Estrato 1,237,43,48
Oficial,Femenino,Estrato 4,238,34,51
No Oficial,Masculino,Estrato 1,294,50,49
Oficial,Femenino,Estrato 1,267,53,58
Oficial,Masculino,Estrato 1,251,61,50
No Oficial,Masculino,Estrato 3,318,63,60
Oficial,Masculino,Estrato 2,247,39,59
Oficial,Femenino,Estrato 2,217,26,46
No Oficial,Femenino,Estrato 1,351,75,73
No Oficial,Femenino,Estrato 3,299,54,46
Oficial,Masculino,Estrato 4,214,38,50
Oficial,Femenino,Estrato 1,240,56,51
Oficial,Femenino,Estrato 1,225,43,53
Oficial,Masculino,Estrato 3,261,49,48
Oficial,Masculino,Estrato 3,246,50,44
Oficial,Femenino,Estrato 3,262,64,63
No Oficial,Masculino,Estrato 3,302,62,67
No Oficial,Masculino,Estrato 4,276,37,45
No Oficial,Femenino,Estrato 1,325,58,65
Oficial,Masculino,Estrato 1,265,50,60
Oficial,Femenino,Estrato 3,342,75,69
Oficial,Femenino,Estrato 3,205,31,37
Oficial,Femenino,Estrato 2,246,50,44
Oficial,Femenino,Estrato 5,197,38,39
No Oficial,Masculino,Estrato 3,256,59,58
Oficial,Femenino,Estrato 3,218,35,36
Oficial,Masculino,Estrato 1,240,49,33
Oficial,Femenino,Estrato 1,251,62,47
No Oficial,Femenino,Estrato 3,299,66,62
Oficial,Femenino,Estrato 1,173,39,39
Oficial,Femenino,Estrato 1,302,57,53
Oficial,Masculino,Estrato 4,278,56,57
Oficial,Masculino,Estrato 4,239,46,43
Oficial,Femenino,Estrato 1,209,48,46
No Oficial,Masculino,Estrato 3,262,56,51
Oficial,Femenino,Estrato 1,259,46,57
Oficial,Masculino,Estrato 2,275,68,55
Oficial,Femenino,Estrato 3,279,65,59
No Oficial,Masculino,Estrato 3,334,59,63
Oficial,Femenino,Estrato 1,175,32,30
Oficial,Femenino,Estrato 2,232,45,44
No Oficial,Masculino,Estrato 1,253,57,54
No Oficial,Masculino,Estrato 6,297,52,77
No Oficial,Masculino,Estrato 3,290,52,66
No Oficial,Masculino,Estrato 2,251,57,60
Oficial,Masculino,Estrato 1,292,62,57
Oficial,Masculino,Estrato 2,271,38,50
No Oficial,Femenino,Estrato 3,298,64,44
Oficial,Masculino,Estrato 3,256,39,47
Oficial,Femenino,Estrato 2,191,33,28
No Oficial,Femenino,Estrato 6,274,51,60
Oficial,Masculino,Estrato 2,216,39,41
Oficial,Masculino,Estrato 2,247,44,40
Oficial,Femenino,Estrato 2,229,37,49
Oficial,Masculino,Estrato 2,255,55,53
Oficial,Femenino,Estrato 4,280,43,48
Oficial,Femenino,Estrato 3,216,38,53
Oficial,Masculino,Estrato 2,250,56,44
Oficial,Femenino,Estrato 1,228,48,49
Oficial,Masculino,Estrato 1,252,39,49
Oficial,Masculino,Estrato 2,272,38,65
No Oficial,Femenino,Estrato 3,300,51,66
Oficial,Femenino,Estrato 3,271,36,46
Oficial,Femenino,Estrato 1,261,52,64
No Oficial,Femenino,Estrato 1,290,54,49
Oficial,Femenino,Estrato 2,201,37,32
No Oficial,Femenino,Estrato 4,266,57,64
Oficial,Masculino,Estrato 2,259,58,51
No Oficial,Femenino,Estrato 2,307,63,63
Oficial,Femenino,Estrato 2,258,49,54
No Oficial,Masculino,Estrato 1,358,65,64
Oficial,Femenino,Estrato 2,167,30,46
No Oficial,Masculino,Estrato 3,292,60,73
Oficial,Femenino,Estrato 5,286,64,44
Oficial,Femenino,Estrato 2,272,43,51
No Oficial,Femenino,Estrato 1,333,57,71
Oficial,Masculino,Estrato 3,203,40,39
Oficial,Femenino,Estrato 3,146,12,25
Oficial,Masculino,Estrato 1,303,62,64
Oficial,Femenino,Estrato 4,246,57,53
Oficial,Femenino,Estrato 3,320,82,75
Oficial,Femenino,Estrato 2,237,48,35
No Oficial,Femenino,Estrato 2,277,62,48
Oficial,Femenino,Estrato 3,280,56,50
Oficial,Masculino,Estrato 3,310,74,78
No Oficial,Masculino,Estrato 1,289,54,68
No Oficial,Femenino,Estrato 1,338,70,69
Oficial,Femenino,Estrato 1,246,54,48
Oficial,Masculino,Estrato 3,203,43,43
Oficial,Femenino,Estrato 2,229,39,54
Oficial,Masculino,Estrato 2,247,38,47
Oficial,Masculino,Estrato 3,300,68,61
Oficial,Femenino,Estrato 2,227,47,43
Oficial,Masculino,Estrato 3,287,58,47
Oficial,Masculino,Estrato 2,241,55,35
No Oficial,Masculino,Estrato 2,260,58,47
No Oficial,Femenino,Estrato 2,285,59,54
Oficial,Femenino,Estrato 5,269,58,56
Oficial,Femenino,Estrato 3,284,52,58
Oficial,Masculino,Estrato 1,278,59,45
No Oficial,Femenino,Estrato 5,278,43,55
Oficial,Femenino,Estrato 3,330,66,62
Oficial,Femenino,Estrato 1,309,67,60
No Oficial,Femenino,Estrato 1,240,42,48
No Oficial,Masculino,Estrato 2,291,59,67
No Oficial,Masculino,Estrato 3,313,65,59
Oficial,Masculino,Estrato 3,167,26,45
Oficial,Masculino,Estrato 2,278,64,46
Oficial,Femenino,Estrato 2,202,42,34
No Oficial,Femenino,Estrato 1,262,38,51
No Oficial,Femenino,Estrato 1,286,57,49
Oficial,Masculino,Estrato 2,186,48,27
Oficial,Masculino,Estrato 2,242,48,48
Oficial,Masculino,Estrato 2,202,35,31
No Oficial,Masculino,Estrato 4,310,57,55
No Oficial,Masculino,Estrato 1,254,49,50
Oficial,Femenino,Estrato 1,270,44,65
Oficial,Masculino,Estrato 1,275,66,53
Oficial,Femenino,Estrato 2,251,57,51
No Oficial,Masculino,Estrato 3,260,60,43
No Oficial,Femenino,Estrato 2,296,47,51
No Oficial,Femenino,Estrato 2,290,59,41
Oficial,Masculino,Estrato 2,187,46,30
Oficial,Femenino,Estrato 2,205,33,46
Oficial,Femenino,Estrato 2,286,56,53
Oficial,Femenino,Estrato 3,266,44,54
No Oficial,Femenino,Estrato 1,288,64,59
No Oficial,Masculino,Estrato 3,329,64,70
No Oficial,Femenino,Estrato 2,308,60,73
No Oficial,Femenino,Estrato 2,302,51,64
Oficial,Masculino,Estrato 2,299,72,58
No Oficial,Masculino,Estrato 5,292,58,63
No Oficial,Femenino,Estrato 1,251,56,52
No Oficial,Masculino,Estrato 1,268,56,37
Oficial,Femenino,Estrato 2,238,40,39
Oficial,Femenino,Estrato 3,180,22,34
Oficial,Femenino,Estrato 1,211,40,38
No Oficial,Masculino,Estrato 4,231,55,45
Oficial,Masculino,Estrato 3,229,30,28
Oficial,Masculino,Estrato 4,220,59,49
Oficial,Femenino,Estrato 2,246,55,48
Oficial,Femenino,Estrato 3,210,43,50
Oficial,Femenino,Estrato 2,331,65,66
Oficial,Femenino,Estrato 2,190,44,39
Oficial,Masculino,Estrato 4,280,46,48
Oficial,Masculino,Estrato 1,234,50,38
No Oficial,Femenino,Estrato 4,249,52,50
Oficial,Femenino,Estrato 2,265,67,53
No Oficial,Masculino,Estrato 6,341,65,56
Oficial,Masculino,Estrato 2,199,40,46
Oficial,Masculino,Estrato 3,231,45,46
No Oficial,Masculino,Estrato 1,315,58,59
Oficial,Femenino,Estrato 2,249,61,43
Oficial,Femenino,Estrato 3,204,33,46
Oficial,Femenino,Estrato 3,296,47,54
No Oficial,Femenino,Estrato 1,320,65,65
Oficial,Femenino,Estrato 2,234,41,45
Oficial,Femenino,Estrato 2,208,43,37
Oficial,Masculino,Estrato 1,252,55,41
Oficial,Femenino,Estrato 2,285,58,66
Oficial,Masculino,Estrato 3,188,37,30
Oficial,Masculino,Estrato 2,339,51,61
Oficial,Masculino,Estrato 2,253,55,59
Oficial,Femenino,Estrato 5,260,53,51
Oficial,Masculino,Estrato 1,187,52,39
No Oficial,Masculino,Estrato 2,269,62,64
Oficial,Masculino,Estrato 3,283,44,67
Oficial,Femenino,Estrato 3,253,59,46
No Oficial,Femenino,Estrato 3,321,53,72
Oficial,Femenino,Estrato 3,242,55,37
Oficial,Masculino,Estrato 1,189,49,25
No Oficial,Masculino,Estrato 2,303,75,60
No Oficial,Femenino,Estrato 3,269,50,53
Oficial,Masculino,Estrato 1,280,61,60
No Oficial,Femenino,Estrato 1,328,73,69
Oficial,Femenino,Estrato 3,212,46,47
Oficial,Femenino,Estrato 3,238,34,58
Oficial,Femenino,Estrato 2,294,60,72
No Oficial,Masculino,Estrato 4,254,55,56
Oficial,Masculino,Estrato 3,290,57,57
Oficial,Femenino,Estrato 5,221,37,42
Oficial,Masculino,Estrato 4,210,40,41
Oficial,Masculino,Estrato 2,243,55,44
Oficial,Masculino,Estrato 3,200,43,46
Oficial,Masculino,Estrato 3,169,37,41
Oficial,Masculino,Estrato 3,248,47,45
Oficial,Masculino,Estrato 3,266,56,52
Oficial,Femenino,Estrato 1,293,41,46
Oficial,Femenino,Estrato 1,269,53,53
Oficial,Femenino,Estrato 2,323,61,64
Oficial,Femenino,Estrato 3,299,60,52
No Oficial,Masculino,Estrato 3,300,50,56
Oficial,Masculino,Estrato 2,263,55,44
